"","AGE_CAT_EDUC","SEX","CD","LHS_111 - 112 (2010 - 2012)","HS_111 - 112 (2010 - 2012)","SCAD_111 - 112 (2010 - 2012)","LHS_113 - 114 (2013 - 2015)","HS_113 - 114 (2013 - 2015)","SCAD_113 - 114 (2013 - 2015)"
"1","25 to 34 years","Male","CD 01","7.88 (2.69 , 23.06)","11.28 (4.08 , 31.2)","5.95 (2.03 , 17.41)","9.24 (4.55 , 18.74)","10.52 (5.48 , 20.21)","4.57 (2.22 , 9.4)"
"2","25 to 34 years","Male","CD 02","5.91 (2.14 , 16.3)","6.87 (3.13 , 15.07)","3.69 (1.55 , 8.81)","3.85 (1.55 , 9.57)","7.64 (3.95 , 14.79)","4.06 (1.95 , 8.48)"
"3","25 to 34 years","Male","CD 03","3.07 (1.21 , 7.79)","3.69 (1.76 , 7.77)","1.59 (0.68 , 3.76)","5.39 (2.65 , 10.96)","4.78 (2.6 , 8.78)","2.14 (1.08 , 4.27)"
"4","25 to 34 years","Male","CD 04","20.18 (7.11 , 57.3)","14.43 (5.76 , 36.14)","4.46 (1.66 , 12.01)","3.54 (1.63 , 7.71)","4.11 (2.16 , 7.82)","1.94 (0.94 , 4.03)"
"5","25 to 34 years","Male","CD 05","4.55 (1.33 , 15.55)","7.01 (2.51 , 19.57)","2.52 (0.8 , 7.93)","2.11 (0.79 , 5.67)","3.19 (1.55 , 6.55)","2.42 (1.11 , 5.27)"
"6","25 to 34 years","Male","CD 06","3.55 (1.47 , 8.56)","4.5 (2.28 , 8.88)","2.66 (1.26 , 5.64)","14.44 (5.42 , 38.47)","13.46 (5.75 , 31.52)","7.68 (3.17 , 18.6)"
"7","25 to 34 years","Male","CD 07","4.82 (2.3 , 10.13)","5.89 (3.52 , 9.85)","1.43 (0.74 , 2.76)","4.17 (1.77 , 9.82)","8.87 (4.52 , 17.41)","5.36 (2.66 , 10.83)"
"8","25 to 34 years","Male","CD 08","2.82 (1.22 , 6.54)","3.78 (2.19 , 6.53)","1.23 (0.63 , 2.38)","10.85 (3.86 , 30.49)","17.7 (7.72 , 40.59)","9.29 (3.93 , 21.93)"
"9","25 to 34 years","Male","CD 09","5.96 (1.31 , 27.19)","7.47 (1.8 , 30.9)","4.13 (0.92 , 18.46)","2.26 (1.01 , 5.05)","2.69 (1.42 , 5.1)","1.36 (0.66 , 2.82)"
"10","25 to 34 years","Male","CD 10","3.82 (1.45 , 10.06)","3.87 (1.65 , 9.06)","2.53 (1.01 , 6.33)","2.64 (1.02 , 6.81)","4.3 (1.95 , 9.44)","1.53 (0.61 , 3.83)"
"11","25 to 34 years","Male","CD 11","36.37 (4.86 , 272.45)","37.96 (5.26 , 273.86)","14.06 (1.88 , 105.04)","8.35 (3.1 , 22.5)","8.05 (3.24 , 20.04)","4.29 (1.65 , 11.18)"
"12","25 to 34 years","Male","CD 12","1.78 (0.6 , 5.28)","4.81 (2.21 , 10.5)","1.14 (0.44 , 2.95)","4.23 (2.04 , 8.78)","5.67 (3.39 , 9.48)","1.87 (1.03 , 3.4)"
"13","25 to 34 years","Male","CD 13","8.03 (3.85 , 16.76)","6.26 (3.3 , 11.89)","2.72 (1.33 , 5.58)","4.7 (1.89 , 11.68)","9.14 (4.36 , 19.16)","4.86 (2.22 , 10.67)"
"14","25 to 34 years","Male","CD 14","6.88 (2.58 , 18.34)","11.01 (5.23 , 23.17)","5.02 (2.29 , 11.02)","13.28 (6.6 , 26.7)","11.37 (6.43 , 20.12)","4.63 (2.5 , 8.57)"
"15","25 to 34 years","Male","CD 15","2.54 (1.18 , 5.5)","2.55 (1.37 , 4.73)","0.91 (0.42 , 1.97)","2.44 (1.05 , 5.65)","3.55 (1.88 , 6.72)","1.92 (0.95 , 3.87)"
"16","25 to 34 years","Male","CD 16","3.36 (1.05 , 10.71)","5.56 (1.96 , 15.74)","1.51 (0.43 , 5.36)","7.29 (2.12 , 25.02)","8.66 (2.68 , 28.01)","2.86 (0.77 , 10.57)"
"17","25 to 34 years","Male","CD 17","3.33 (1.33 , 8.34)","2.92 (1.3 , 6.59)","1.96 (0.81 , 4.72)","3.67 (1.45 , 9.32)","6.96 (3.22 , 15.08)","2.58 (1.12 , 5.96)"
"18","25 to 34 years","Male","CD 18","4.21 (1.14 , 15.57)","9.15 (4.47 , 18.71)","3.25 (1.48 , 7.15)","5.7 (2.44 , 13.35)","10.02 (5.57 , 18)","2.93 (1.51 , 5.7)"
"19","25 to 34 years","Male","CD 19","2.44 (0.91 , 6.49)","3.55 (1.67 , 7.54)","0.94 (0.35 , 2.5)",NA,NA,NA
"20","25 to 34 years","Female","CD 01","11.53 (2.56 , 52.04)","7.71 (1.76 , 33.69)","3.57 (0.72 , 17.69)","14.52 (6.3 , 33.45)","5.48 (2.36 , 12.71)","3.08 (1.23 , 7.71)"
"21","25 to 34 years","Female","CD 02","9.31 (2.08 , 41.61)","10.51 (2.99 , 36.88)","1.47 (0.25 , 8.81)","9.7 (3.69 , 25.48)","3.89 (1.51 , 10.05)","1.23 (0.36 , 4.19)"
"22","25 to 34 years","Female","CD 03","3.51 (0.59 , 21.02)","5.07 (1.47 , 17.53)","1.98 (0.49 , 7.91)","7.49 (2.9 , 19.32)","5.09 (2.19 , 11.82)","1.44 (0.52 , 3.96)"
"23","25 to 34 years","Female","CD 04","10.84 (2.19 , 53.7)","7.78 (2.11 , 28.75)","2.13 (0.48 , 9.5)","4.43 (0.89 , 21.96)","6.87 (2 , 23.58)","5.09 (1.45 , 17.87)"
"24","25 to 34 years","Female","CD 05","8.11 (1.49 , 44.28)","1.08 (0.15 , 7.63)","2.55 (0.49 , 13.13)","9.16 (1.53 , 54.83)","13.23 (3.1 , 56.43)","5.3 (1.13 , 24.98)"
"25","25 to 34 years","Female","CD 06","0 (0 , Inf)","9.56 (1.93 , 47.37)","5.25 (1.02 , 27.06)","3.78 (0.78 , 18.19)","4.2 (1.56 , 11.28)","2.01 (0.67 , 5.97)"
"26","25 to 34 years","Female","CD 07","0 (0 , Inf)","15.5 (5.25 , 45.81)","3.4 (0.96 , 12.06)","4.8 (0.88 , 26.21)","11.44 (3.77 , 34.76)","9.9 (3.35 , 29.25)"
"27","25 to 34 years","Female","CD 08","5.45 (0.49 , 60.06)","12.01 (2.69 , 53.66)","4.72 (0.95 , 23.37)","20.58 (6.02 , 70.29)","9.56 (3.15 , 29.06)","5.42 (1.77 , 16.62)"
"28","25 to 34 years","Female","CD 09","2.75 (0.69 , 11.01)","2.35 (0.76 , 7.27)","1.5 (0.44 , 5.13)","2.64 (0.71 , 9.84)","1.73 (0.59 , 5.06)","1.84 (0.64 , 5.3)"
"29","25 to 34 years","Female","CD 10","59995961840.75 (0 , Inf)","47251553668.47 (0 , Inf)","19950445058.33 (0 , Inf)","5.35 (1.2 , 23.9)","6.63 (1.94 , 22.63)","2.03 (0.51 , 8.1)"
"30","25 to 34 years","Female","CD 11","19586565233.09 (0 , Inf)","90681689940.31 (0 , Inf)","63533458074.73 (0 , Inf)","7.08 (2 , 25.09)","7.1 (2.45 , 20.59)","2.16 (0.65 , 7.17)"
"31","25 to 34 years","Female","CD 12","7.29 (1.74 , 30.51)","5.86 (1.73 , 19.81)","3.3 (0.93 , 11.71)","5.8 (1.75 , 19.25)","6.84 (3.01 , 15.53)","3.71 (1.63 , 8.48)"
"32","25 to 34 years","Female","CD 13","8.01 (2.78 , 23.1)","4.08 (1.57 , 10.62)","3.22 (1.21 , 8.57)","4.85 (1.09 , 21.68)","14.02 (4.89 , 40.17)","3.14 (0.92 , 10.71)"
"33","25 to 34 years","Female","CD 14","7.79 (2.51 , 24.17)","11.05 (4.55 , 26.85)","1.46 (0.47 , 4.53)","13.01 (4.72 , 35.87)","11.03 (4.77 , 25.51)","5.4 (2.29 , 12.69)"
"34","25 to 34 years","Female","CD 15","6.25 (1.4 , 27.91)","8.62 (2.51 , 29.6)","4.73 (1.32 , 16.95)","5.3 (1.07 , 26.26)","5.05 (1.37 , 18.66)","2.41 (0.6 , 9.62)"
"35","25 to 34 years","Female","CD 16","2.38 (0.53 , 10.62)","4.66 (1.31 , 16.51)","2.04 (0.49 , 8.55)","2.3 (0.46 , 11.4)","4.41 (1.25 , 15.64)","1.46 (0.33 , 6.5)"
"36","25 to 34 years","Female","CD 17","2.03 (0.51 , 8.11)","2.29 (0.86 , 6.1)","0.82 (0.25 , 2.69)","4.4 (1.27 , 15.2)","5.9 (2.23 , 15.57)","1.5 (0.49 , 4.59)"
"37","25 to 34 years","Female","CD 18","6.96 (0.72 , 66.93)","12.65 (3.53 , 45.34)","5.21 (1.41 , 19.25)","14.68 (4.73 , 45.51)","8.62 (3.37 , 22.02)","2.4 (0.83 , 6.9)"
"38","25 to 34 years","Female","CD 19","5.58 (1.13 , 27.64)","4.32 (1.19 , 15.69)","2.47 (0.64 , 9.55)",NA,NA,NA
"39","35 to 44 years","Male","CD 01","2.94 (1.26 , 6.89)","3.56 (1.62 , 7.82)","1.56 (0.62 , 3.91)","9.06 (3.82 , 21.46)","8.82 (3.84 , 20.22)","4.82 (1.97 , 11.8)"
"40","35 to 44 years","Male","CD 02","4.72 (1.79 , 12.42)","6.34 (2.7 , 14.89)","0.79 (0.22 , 2.82)","7.48 (2.87 , 19.47)","7.2 (3.06 , 16.93)","4.19 (1.63 , 10.8)"
"41","35 to 44 years","Male","CD 03","9.9 (2.79 , 35.09)","6.25 (1.93 , 20.27)","3.61 (1.02 , 12.81)","3.12 (1.33 , 7.35)","4.38 (2.3 , 8.32)","1.96 (0.94 , 4.09)"
"42","35 to 44 years","Male","CD 04","4.18 (1.45 , 12.02)","4.63 (2.34 , 9.17)","1.76 (0.78 , 4)","7.11 (3.27 , 15.44)","3.36 (1.63 , 6.95)","2.38 (1.09 , 5.23)"
"43","35 to 44 years","Male","CD 05","9.17 (2.61 , 32.18)","5.83 (1.81 , 18.82)","2.61 (0.72 , 9.47)","1.93 (0.61 , 6.07)","4.41 (2.01 , 9.69)","1.56 (0.61 , 4.04)"
"44","35 to 44 years","Male","CD 06","10.06 (4.05 , 25.01)","6.53 (2.99 , 14.23)","2.59 (1 , 6.71)","9.44 (3.04 , 29.27)","11.86 (4.98 , 28.24)","4.83 (1.81 , 12.88)"
"45","35 to 44 years","Male","CD 07","6.7 (2.94 , 15.27)","7.64 (4.14 , 14.07)","2.41 (1.16 , 5.02)","5.2 (1.89 , 14.35)","12.06 (5.69 , 25.58)","5.76 (2.54 , 13.09)"
"46","35 to 44 years","Male","CD 08","4.81 (2.08 , 11.12)","3.56 (1.94 , 6.54)","1.64 (0.8 , 3.36)","9.56 (3.77 , 24.21)","8.49 (3.97 , 18.13)","1.28 (0.44 , 3.7)"
"47","35 to 44 years","Male","CD 09","10.07 (2.29 , 44.29)","5.28 (1.27 , 21.97)","1.59 (0.31 , 8.22)","4.18 (1.7 , 10.24)","4.42 (2.04 , 9.57)","1.96 (0.83 , 4.63)"
"48","35 to 44 years","Male","CD 10","2.47 (0.99 , 6.15)","2.14 (1 , 4.58)","1.43 (0.61 , 3.34)","111867058130.19 (0 , Inf)","109972774078.77 (0 , Inf)","49385001917.33 (0 , Inf)"
"49","35 to 44 years","Male","CD 11","2.2 (0.92 , 5.28)","2.93 (1.5 , 5.73)","1.27 (0.59 , 2.75)","2.53 (1.05 , 6.08)","2.54 (1.27 , 5.07)","1.85 (0.87 , 3.93)"
"50","35 to 44 years","Male","CD 12","4.86 (1.26 , 18.81)","8.87 (2.79 , 28.2)","2.43 (0.68 , 8.71)","2.43 (0.9 , 6.58)","4.57 (2.66 , 7.84)","1.65 (0.87 , 3.16)"
"51","35 to 44 years","Male","CD 13","10.55 (4.86 , 22.9)","7.32 (3.63 , 14.76)","1.13 (0.42 , 3.03)","3.48 (1.77 , 6.82)","4.02 (2.3 , 7.04)","1.74 (0.89 , 3.38)"
"52","35 to 44 years","Male","CD 14","6.91 (3.07 , 15.56)","4.63 (2.34 , 9.14)","2.11 (0.97 , 4.57)","7.47 (3.39 , 16.45)","8.61 (4.57 , 16.21)","3.56 (1.8 , 7.05)"
"53","35 to 44 years","Male","CD 15","1.86 (0.67 , 5.11)","4.07 (2.05 , 8.1)","0.88 (0.35 , 2.22)","6.46 (2.58 , 16.19)","6.47 (2.92 , 14.34)","2.93 (1.21 , 7.06)"
"54","35 to 44 years","Male","CD 16","4.69 (1.82 , 12.09)","3.65 (1.5 , 8.87)","1.5 (0.48 , 4.65)","4.93 (1.59 , 15.27)","7.86 (2.81 , 22.01)","1.49 (0.4 , 5.55)"
"55","35 to 44 years","Male","CD 17","7.65 (1.62 , 36.02)","11.21 (2.72 , 46.18)","3.43 (0.73 , 16.14)","2.91 (1.25 , 6.82)","3.65 (1.81 , 7.36)","1.24 (0.54 , 2.83)"
"56","35 to 44 years","Male","CD 18","6.54 (2.05 , 20.84)","7.16 (3.59 , 14.27)","2.17 (0.95 , 4.95)","5.71 (2.7 , 12.09)","3.83 (2.2 , 6.66)","2.84 (1.59 , 5.06)"
"57","35 to 44 years","Male","CD 19","3.59 (1.55 , 8.31)","2.21 (1.09 , 4.5)","1.2 (0.51 , 2.84)",NA,NA,NA
"58","35 to 44 years","Female","CD 01","2.57 (0.68 , 9.69)","4.09 (1.23 , 13.55)","1.39 (0.35 , 5.56)","3.55 (1.4 , 9.01)","3.21 (1.38 , 7.46)","1.9 (0.76 , 4.77)"
"59","35 to 44 years","Female","CD 02","3.16 (0.85 , 11.78)","3.9 (1.3 , 11.66)","1.06 (0.26 , 4.23)","17.78 (3.9 , 81.14)","13.78 (3.2 , 59.4)","3.21 (0.62 , 16.55)"
"60","35 to 44 years","Female","CD 03","3.72 (0.75 , 18.42)","3.17 (0.9 , 11.13)","2.56 (0.69 , 9.47)","14.21 (4.38 , 46.15)","11.11 (3.94 , 31.31)","3.08 (0.98 , 9.68)"
"61","35 to 44 years","Female","CD 04","3.35 (0.37 , 29.99)","7.13 (2.38 , 21.32)","1.94 (0.52 , 7.23)","3.93 (1.06 , 14.64)","6.2 (2.38 , 16.14)","2.29 (0.78 , 6.71)"
"62","35 to 44 years","Female","CD 05","2.4 (0.57 , 10.06)","1.46 (0.51 , 4.14)","0.65 (0.18 , 2.43)","6.05 (1.51 , 24.2)","3.99 (1.32 , 12.02)","2.07 (0.62 , 6.86)"
"63","35 to 44 years","Female","CD 06","2.72 (0.58 , 12.8)","3.66 (1.54 , 8.73)","0.71 (0.19 , 2.68)","3.92 (0.44 , 35.1)","14.02 (4.72 , 41.67)","3.32 (0.89 , 12.36)"
"64","35 to 44 years","Female","CD 07","6.78 (1.69 , 27.09)","5.92 (2.3 , 15.25)","3.76 (1.41 , 10.02)","3.79 (0.76 , 18.76)","7.78 (2.99 , 20.23)","3.91 (1.39 , 10.99)"
"65","35 to 44 years","Female","CD 08","2.75 (0.32 , 23.54)","5.13 (1.88 , 14.01)","2.53 (0.85 , 7.54)","20.42 (7.08 , 58.84)","8.67 (3.5 , 21.48)","3.47 (1.29 , 9.4)"
"66","35 to 44 years","Female","CD 09","5.67 (0.51 , 62.48)","9.29 (1.24 , 69.56)","4.09 (0.49 , 33.95)","5.86 (1.92 , 17.92)","5.24 (2.06 , 13.35)","1.73 (0.6 , 4.97)"
"67","35 to 44 years","Female","CD 10","3.91 (1.26 , 12.12)","1.45 (0.54 , 3.86)","0.71 (0.22 , 2.33)","8.53 (0.77 , 94.08)","9.27 (1.2 , 71.81)","9.42 (1.21 , 73.61)"
"68","35 to 44 years","Female","CD 11","1.64 (0.41 , 6.54)","2.81 (1.14 , 6.97)","1.22 (0.44 , 3.34)","11.72 (4.07 , 33.73)","3.19 (1.17 , 8.71)","2.48 (0.87 , 7.03)"
"69","35 to 44 years","Female","CD 12","3.83 (1.17 , 12.54)","2.27 (0.92 , 5.61)","1.52 (0.58 , 3.99)","12.37 (4.16 , 36.81)","4.45 (1.8 , 11.02)","3.39 (1.39 , 8.24)"
"70","35 to 44 years","Female","CD 13","5.3 (1.78 , 15.77)","4.1 (1.71 , 9.83)","1.09 (0.34 , 3.42)","9.98 (3.07 , 32.41)","9.43 (3.25 , 27.37)","3.78 (1.19 , 12.05)"
"71","35 to 44 years","Female","CD 14","6.17 (1.54 , 24.66)","6.65 (2.3 , 19.23)","3.53 (1.17 , 10.64)","6.36 (2.21 , 18.32)","8.45 (3.92 , 18.21)","1.87 (0.76 , 4.56)"
"72","35 to 44 years","Female","CD 15","4.19 (1.28 , 13.72)","4.33 (1.74 , 10.79)","1.82 (0.66 , 5.01)","6.62 (1.48 , 29.58)","6.45 (1.87 , 22.28)","5.75 (1.66 , 19.85)"
"73","35 to 44 years","Female","CD 16","3.38 (0.76 , 15.1)","3.23 (0.87 , 11.93)","1.36 (0.27 , 6.74)","3.79 (1.24 , 11.6)","3.7 (1.35 , 10.19)","1.6 (0.51 , 5.03)"
"74","35 to 44 years","Female","CD 17","3.66 (0.74 , 18.14)","3.46 (0.99 , 12.03)","1.45 (0.35 , 6.08)","4.66 (1.35 , 16.11)","4.24 (1.6 , 11.25)","1.97 (0.68 , 5.66)"
"75","35 to 44 years","Female","CD 18","4.04 (0.45 , 36.18)","11.46 (3.95 , 33.26)","2.18 (0.62 , 7.73)","11.7 (3.71 , 36.85)","10.43 (4.56 , 23.89)","2.9 (1.14 , 7.37)"
"76","35 to 44 years","Female","CD 19","70477619395.3 (0 , Inf)","42493818332.02 (0 , Inf)","9721484616.8 (0 , Inf)",NA,NA,NA
"77","45 to 64 years","Male","CD 01","1.75 (0.95 , 3.2)","3.99 (2.3 , 6.91)","0.94 (0.47 , 1.87)","3.06 (1.83 , 5.14)","3.95 (2.45 , 6.36)","1.96 (1.14 , 3.4)"
"78","45 to 64 years","Male","CD 02","2.39 (1.35 , 4.25)","3.56 (2.15 , 5.89)","1.44 (0.78 , 2.66)","4.93 (2.74 , 8.86)","7.31 (4.29 , 12.47)","2.69 (1.45 , 4.98)"
"79","45 to 64 years","Male","CD 03","1.5 (0.78 , 2.88)","1.1 (0.68 , 1.79)","0.7 (0.38 , 1.29)","4.56 (2.49 , 8.36)","3.84 (2.32 , 6.38)","1.2 (0.64 , 2.28)"
"80","45 to 64 years","Male","CD 04","4.28 (2.05 , 8.93)","4.54 (2.79 , 7.38)","1.19 (0.62 , 2.29)","2.85 (1.59 , 5.09)","2.62 (1.63 , 4.2)","1.06 (0.58 , 1.92)"
"81","45 to 64 years","Male","CD 05","2.15 (1.15 , 3.99)","1.24 (0.74 , 2.08)","0.9 (0.48 , 1.7)","5.85 (2.86 , 11.94)","3.48 (1.86 , 6.52)","2.05 (1 , 4.2)"
"82","45 to 64 years","Male","CD 06","3.84 (2.26 , 6.52)","3.58 (2.4 , 5.34)","0.84 (0.45 , 1.56)","4.56 (2.47 , 8.4)","3.69 (2.35 , 5.81)","2.79 (1.68 , 4.62)"
"83","45 to 64 years","Male","CD 07","3.9 (2.01 , 7.56)","5.63 (3.68 , 8.63)","2.14 (1.27 , 3.6)","2.48 (1.35 , 4.57)","2.47 (1.66 , 3.66)","1.68 (1.06 , 2.67)"
"84","45 to 64 years","Male","CD 08","5.02 (2.86 , 8.8)","3.47 (2.28 , 5.29)","1.58 (0.95 , 2.61)","3.85 (2.07 , 7.16)","4.3 (2.86 , 6.45)","1.74 (1.06 , 2.87)"
"85","45 to 64 years","Male","CD 09","2.33 (1.1 , 4.93)","2.46 (1.31 , 4.62)","1.05 (0.47 , 2.3)","2.74 (1.39 , 5.41)","3.23 (1.83 , 5.71)","1.42 (0.72 , 2.79)"
"86","45 to 64 years","Male","CD 10","2.16 (1.12 , 4.15)","2.3 (1.38 , 3.82)","1.3 (0.72 , 2.36)","1.45 (0.8 , 2.6)","1.46 (0.93 , 2.29)","0.58 (0.32 , 1.06)"
"87","45 to 64 years","Male","CD 11","4 (1.81 , 8.84)","4.73 (2.38 , 9.41)","1.74 (0.78 , 3.87)","5.26 (2.72 , 10.2)","4.41 (2.48 , 7.85)","2.7 (1.44 , 5.07)"
"88","45 to 64 years","Male","CD 12","2.74 (1.44 , 5.18)","2.42 (1.43 , 4.1)","1.4 (0.76 , 2.58)","2.64 (1.38 , 5.05)","3.03 (2.02 , 4.56)","1.6 (0.99 , 2.58)"
"89","45 to 64 years","Male","CD 13","4.61 (2.78 , 7.66)","4.14 (2.73 , 6.29)","1.57 (0.92 , 2.66)","2.91 (1.68 , 5.03)","4.33 (2.8 , 6.68)","1.47 (0.85 , 2.55)"
"90","45 to 64 years","Male","CD 14","1.81 (1.03 , 3.2)","2.3 (1.56 , 3.41)","0.83 (0.5 , 1.38)","4.11 (2.46 , 6.89)","4.45 (2.98 , 6.64)","2.08 (1.33 , 3.25)"
"91","45 to 64 years","Male","CD 15","1.99 (1.03 , 3.84)","2.4 (1.48 , 3.9)","1.51 (0.86 , 2.63)","1.72 (1 , 2.96)","1.86 (1.26 , 2.75)","0.82 (0.49 , 1.36)"
"92","45 to 64 years","Male","CD 16","3.57 (1.66 , 7.68)","5.23 (2.7 , 10.15)","1.86 (0.82 , 4.24)","2.79 (1.62 , 4.81)","2.41 (1.49 , 3.89)","1.64 (0.93 , 2.88)"
"93","45 to 64 years","Male","CD 17","2.27 (1.11 , 4.65)","2.77 (1.57 , 4.88)","1.47 (0.74 , 2.91)","1.6 (0.93 , 2.76)","2.33 (1.57 , 3.45)","0.8 (0.48 , 1.32)"
"94","45 to 64 years","Male","CD 18","4.34 (2.17 , 8.68)","3.72 (2.35 , 5.88)","1.42 (0.81 , 2.5)","3.44 (1.86 , 6.37)","4.05 (2.73 , 6.01)","1.52 (0.93 , 2.47)"
"95","45 to 64 years","Male","CD 19","3.01 (1.63 , 5.55)","2.45 (1.49 , 4.01)","1.2 (0.65 , 2.2)",NA,NA,NA
"96","45 to 64 years","Female","CD 01","1.09 (0.46 , 2.61)","2.03 (0.95 , 4.33)","0.87 (0.36 , 2.14)","5.02 (1.9 , 13.25)","6.32 (2.53 , 15.77)","3.61 (1.37 , 9.55)"
"97","45 to 64 years","Female","CD 02","2.3 (1.06 , 5)","2.24 (1.13 , 4.44)","1.14 (0.5 , 2.58)","4.2 (2.16 , 8.17)","4.18 (2.29 , 7.64)","1.02 (0.47 , 2.2)"
"98","45 to 64 years","Female","CD 03","5.01 (1.82 , 13.77)","2.34 (0.97 , 5.62)","2.16 (0.85 , 5.53)","3.16 (1.28 , 7.77)","3.48 (1.78 , 6.79)","1.72 (0.8 , 3.69)"
"99","45 to 64 years","Female","CD 04","2.47 (0.5 , 12.24)","5.05 (2.12 , 12.02)","2.49 (0.94 , 6.54)","1.74 (0.69 , 4.35)","1.78 (0.95 , 3.35)","0.91 (0.42 , 1.97)"
"100","45 to 64 years","Female","CD 05","19.31 (2.41 , 154.38)","8.87 (1.2 , 65.68)","5.5 (0.68 , 44.72)","3.57 (1.34 , 9.52)","2.39 (1.11 , 5.14)","1.9 (0.82 , 4.39)"
"101","45 to 64 years","Female","CD 06","1.74 (0.48 , 6.23)","4.14 (2.1 , 8.15)","0.75 (0.26 , 2.15)","6.02 (3 , 12.11)","2.23 (1.27 , 3.93)","1.73 (0.93 , 3.21)"
"102","45 to 64 years","Female","CD 07","2.55 (1.01 , 6.43)","3.51 (2.04 , 6.02)","1.29 (0.65 , 2.56)","7.06 (2.89 , 17.27)","5.15 (2.71 , 9.8)","3.5 (1.75 , 7)"
"103","45 to 64 years","Female","CD 08","3.14 (1.21 , 8.16)","2.32 (1.24 , 4.34)","0.86 (0.38 , 1.93)","2.41 (0.91 , 6.43)","2.62 (1.53 , 4.49)","1.76 (0.98 , 3.17)"
"104","45 to 64 years","Female","CD 09","0.39 (0.08 , 1.83)","1.18 (0.54 , 2.58)","1.07 (0.44 , 2.59)","2.75 (1.23 , 6.13)","2.07 (1.09 , 3.94)","0.99 (0.45 , 2.15)"
"105","45 to 64 years","Female","CD 10","1.97 (0.79 , 4.89)","1.38 (0.69 , 2.76)","1.05 (0.48 , 2.32)","2.22 (0.75 , 6.6)","2.89 (1.3 , 6.46)","1.2 (0.46 , 3.09)"
"106","45 to 64 years","Female","CD 11","1.16 (0.39 , 3.46)","2.26 (1.11 , 4.64)","1.51 (0.69 , 3.32)","1.73 (0.73 , 4.13)","1.91 (1.05 , 3.48)","0.96 (0.47 , 1.97)"
"107","45 to 64 years","Female","CD 12","2.58 (1.12 , 5.98)","1.65 (0.83 , 3.27)","0.72 (0.3 , 1.69)","4.66 (1.95 , 11.1)","2.9 (1.59 , 5.29)","2.46 (1.31 , 4.6)"
"108","45 to 64 years","Female","CD 13","2.96 (1.3 , 6.74)","2.54 (1.33 , 4.85)","1.77 (0.87 , 3.62)","2.01 (0.97 , 4.17)","2.53 (1.46 , 4.38)","1.63 (0.88 , 3)"
"109","45 to 64 years","Female","CD 14","4.29 (2.06 , 8.91)","2.18 (1.18 , 4.05)","1.2 (0.6 , 2.41)","2.39 (1.11 , 5.15)","2.91 (1.75 , 4.83)","1.11 (0.61 , 2.01)"
"110","45 to 64 years","Female","CD 15","0.82 (0.23 , 2.99)","1.67 (0.8 , 3.48)","1.07 (0.45 , 2.52)","2.31 (0.91 , 5.86)","1.92 (0.97 , 3.77)","1.59 (0.77 , 3.27)"
"111","45 to 64 years","Female","CD 16","1.56 (0.58 , 4.19)","2.13 (1.01 , 4.48)","1.52 (0.64 , 3.61)","7.65 (2.56 , 22.89)","5.28 (1.87 , 14.87)","3.36 (1.1 , 10.31)"
"112","45 to 64 years","Female","CD 17","3.16 (1.03 , 9.66)","3.27 (1.29 , 8.31)","0.97 (0.3 , 3.18)","2.18 (0.99 , 4.8)","2.41 (1.35 , 4.29)","0.84 (0.42 , 1.71)"
"113","45 to 64 years","Female","CD 18","3.5 (1.25 , 9.83)","2.54 (1.35 , 4.77)","1.2 (0.57 , 2.51)","3.59 (1.27 , 10.2)","4.42 (2.36 , 8.24)","2.14 (1.06 , 4.29)"
"114","45 to 64 years","Female","CD 19","2.06 (0.58 , 7.28)","3.66 (1.55 , 8.63)","2.53 (0.99 , 6.48)",NA,NA,NA
